Birth Order,Property Name,Location,# of Units,Pref or Mezz?,% Stoa-Owned,Construction Start Date,Construction Completion Date,% Complete as of X Date,Lease-Up Start Date,Lease-up Completed Date,% Occupied as of X Date,Project Cost,Project Cost/Unit,Construction Loan Amount,Construction Loan LTC,Construction Financing Lender,Construction Loan Closing,Common Equity Requirement,Permanent Financing Close Date,Permanent Financing Value,per Unit Value,Permanent Financing Lender,Permancent Financing Loan Amount,Permanent Financing LTV,Permanent Interest Rate,Cash-out at Refi (Project-Level),Cash-out at Refi (Stoa),Residual Monthly Cash-Flow (Stoa),NOI,NOI per Unit,Average Rent,Yield on Cost,Debt Yield,Stabilized CoC Returns,Projected Sale Price,per Unit Sale Price,Sale Date,Projected Sale Cap Rate,Project Profit,Projected IRR,Final Cost Projected Over/(Under),Current DSCR,Current FCF,col_3,col_4,col_5,col_6
Stabilized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,The Waters at Covington,"Covington, LA",336.0,Pref,1.0,2025-10-20,2027-12-08,0.01,2027-03-31,2028-09-30,0,54555850.78511307,162368.60352712224,40916888.0,0.7499999983716723,Hancock Whitney,2025-10-13,-4904510.827997696,2029-03-31 00:00:00,71311547.7487059,212236.74925210088,Berkadia (HUD),55579532.659794964,0.7793903570239586,0.055,13425161.814733349,5701838.766417097,41603.51082023597,4278692.864922353,12734.204955126052,1714.1827649818404,0.07842775437185377,0.10457033938950472,0.09049983453443139,77261231.92404342,229944.1426310816,2039-03-31,0.06999999999999999,41958720.88879095,0.2361081063747406,538455.0424461216,-0.4461497185180461,-20082.236344316796,0.5350623802113104,,,
,,,4312.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,The Waters at Robinwood,"Charlotte, NC",288.0,Pref,1.0,2025-11-30,2027-10-31,0.0,2027-01-31,2028-05-31,0,56904841.0484577,197586.25364047813,42678630.78634328,0.7500000000000001,Wells Fargo,2025-11-30,-5138913.463597059,2028-11-30 00:00:00,72739747.21475792,252568.56671790945,Berkadia (HUD),52896552.095132716,0.7272028584174226,0.0535,52896552.095132716,1753098.5980145708,67356.55667408762,4000686.0968116857,13891.27116948502,1774.6589864773132,0.07157011638682134,0.09373979490672564,0.09910034796348015,80653475.48477963,280046.789877707,2038-11-30,0.065,44281904.07111868,0.2144540011882782,,,,,,,
,,,288.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under Contract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,The Waters at Greenville,"Greenville, NC",312.0,Pref,1.0,2026-02-28,2028-01-31,0.0,2027-03-31,2028-07-31,0,53650160.38881352,171955.6422718382,40237620.29161014,0.75,Trustmark Bank,2026-02-28,-4805935.642257327,2029-01-31 00:00:00,70704590.1419325,226617.2760959375,Berkadia (HUD),53173276.33347269,0.7520484345745103,0.0525,11759470.258693736,4758247.418481551,54378.34586156308,4065513.933161119,13030.493375516407,1651.9654584340344,0.07706895807193978,0.10103763353045038,0.11416600502838122,80757482.00118193,258838.08333712158,2039-01-31,0.0675,47609467.68166177,0.2512046158313752,,,,,,,
29,The Heights at Fort Walton Beach,"Fort Walton Beach, FL",294.0,Pref,1.0,2026-03-31,2028-02-29,0.0,2027-04-30,2028-07-31,0,58970509.2200608,200579.96333354016,44227881.915045604,0.75,Pen-Air Credit Union,2026-03-31,-5480056.991380699,2029-01-31 00:00:00,74643756.04911171,253890.32669765886,Berkadia (HUD),57207013.28211435,0.7664005177402261,0.055,11758422.661195973,3890078.9270596933,50560.162703918526,4403981.606897591,14979.529275161873,2008.9827942580723,0.07578211464772679,0.09957477989465799,0.09656203757131807,83151528.3602106,282828.3277558184,2039-01-31,0.06899999999999999,44551454.71498009,0.22861612439155582,,,,,,,
39,The Waters at Fayetteville,"Fayetteville, NC",300.0,Pref,1.0,2026-05-31,2028-04-30,0.0,2027-06-30,2028-09-30,0,49588672.19648621,165295.57398828736,37191504.14736466,0.75,,2026-05-31,-4463830.379693292,2029-03-31 00:00:00,64025735.286531225,213419.11762177074,Berkadia (HUD),51220588.22922498,0.8,0.0525,12895164.964307318,6098934.502003892,44934.730343923206,3841544.1171918735,12805.147057306245,1580.9647273106734,0.07883842276285312,0.10329090487898646,0.10016678300953111,70757795.85114796,235859.31950382655,2039-03-31,0.06999999999999999,39138638.36070523,0.27398398518562317,,,,,,,
31,The Waters at Sweetbay,"Panama City, FL",288.0,Pref,1.0,2026-05-31,2028-04-30,0.0,2027-06-30,2028-08-31,0,50872777.23201339,176641.5876111576,38154582.92401004,0.7499999999999999,Renasant Bank,2026-05-31,-4729027.642598964,2029-02-28 00:00:00,65272987.96828314,226642.31933431645,Berkadia (HUD),46633709.280235715,0.7144411606052958,0.055,7428303.840707726,275801.2008862579,43304.84453144114,3590014.3382555726,12465.327563387405,1725.0545241321747,0.07180344292332619,0.09409130078568981,0.10794806892548943,77786061.19997415,270090.490277688,2039-02-28,0.065,44881010.73781482,0.21528308987617492,,,,,,,
